ax, ay, bx, by, cx, cy, Цвет заливки, Цвет границы
80, 95, 79, 98, 66, 90, Royal blue, Snow
-10, -95, -5, -94, -15, -96, Medium turquoise, Slate blue
84, 66, 89, 61, 74, 61, Olive drab, Orchid
-61, -6, -49, 6, -53, -1, Peach puff, Orange
-2, 70, -10, 55, -9, 67, Saddle brown, Sandy brown
-32, 55, -36, 50, -45, 49, Aqua marine, Dark sea green
93, 84, 95, 80, 91, 79, Old lace, Dark sea green
-90, -54, -94, -61, -94, -45, Indian red, Yellow green
14, 30, 11, 31, 0, 41, Sandy brown, Lime
75, 67, 72, 59, 78, 66, Dark red, Yellow green
-46, -25, -52, -20, -56, -24, Navy, Lime
-66, -96, -55, -85, -55, -99, Yellow green, Khaki
13, -38, 16, -41, 11, -38, Misty rose, Tan
-5, -24, -8, -21, -9, -31, Dark red, Light green
-89, 93, -83, 94, -79, 92, Dark red, Coral
-81, -1, -63, -7, -70, -2, Orchid, Magenta
-27, 15, -21, 25, -21, 20, Dark slate gray, Lemon chiffon
-47, 49, -44, 46, -49, 49, Light green, Pale golden rod
-50, 30, -48, 30, -42, 30, Dark turquoise, Olive
-49, 95, -52, 90, -47, 96, Pale turquoise, Lavender
47, 1, 37, 1, 43, -6, Magenta, Peru
39, 81, 35, 74, 45, 78, Hot pink, Lime green
-80, 1, -74, 7, -87, 16, Navajo white, Maroon
41, -23, 37, -17, 27, -30, Olive, Dark golden rod
